"key","year","type","emailed","downloaded","reply_received","data_sent","data_available","n_results","data_complete","analysis_clear","reproduced","code_available"
45,2016,"human observational  ",TRUE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA
46,2016,"human observational  ",TRUE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA
47,2017,"human observational  ",TRUE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA
48,1996,"nonhuman experimental  ",TRUE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA
49,1999,"nonhuman experimental  ",TRUE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA
50,2003,"nonhuman experimental  ",TRUE,FALSE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA
51,2002,"nonhuman experimental  ",TRUE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA
52,2005,"nonhuman experimental  ",TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA
53,2007,"human experimental  ",TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA
54,1997,"nonhuman experimental  ",TRUE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA
55,2002,"nonhuman experimental  ",TRUE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA
56,2016,"human experimental  ",TRUE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA
57,2009,"nonhuman experimental  ",TRUE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA
58,1993,"nonhuman observational  ",TRUE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA
59,2010,"nonhuman experimental  ",TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA
60,2003,"nonhuman experimental  ",TRUE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA
61,2009,"human experimental  ",TRUE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA
62,2010,"human experimental  ",TRUE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA
63,2010,"human experimental  ",TRUE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA
64,2012,"human experimental  ",TRUE,FALSE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA
65,2012,"human experimental  ",TRUE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA
66,2014,"human experimental  ",TRUE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA
67,2017,"human experimental  ",TRUE,FALSE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA
68,1994,"nonhuman experimental  ",TRUE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA
